county,FIPS,date,case_2.5,case_50,case_97.5,death_2.5,death_50,death_97.5
Mecklenburg County NC,37119,02/28,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,02/29,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/01,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/02,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/03,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/04,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/05,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/06,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/07,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/08,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/09,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/10,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/11,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/12,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/13,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/14,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/15,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/16,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/17,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/18,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/19,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/20,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/21,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/22,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/23,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/24,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/25,0.00,0.00,2.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/26,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/27,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/28,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/29,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/30,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,03/31,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/01,0.00,0.00,0.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/02,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/03,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/04,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/05,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/06,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/07,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/08,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/09,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/10,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/11,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/12,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/13,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/14,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/15,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/16,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/17,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/18,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/19,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/20,0.00,0.00,2.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/21,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/22,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/23,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/24,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/25,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/26,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/27,0.00,0.00,2.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/28,0.00,0.00,2.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/29,0.00,0.00,1.00,0.00,0.00,0.00
Mecklenburg County NC,37119,04/30,0.00,0.00,2.00,0.00,0.00,0.00
Mecklenburg County NC,37119,05/01,0.00,0.00,2.00,0.00,0.00,0.00
Mecklenburg County NC,37119,05/02,0.00,0.00,2.00,0.00,0.00,0.00
Mecklenburg County NC,37119,05/03,0.00,0.00,2.00,0.00,0.00,0.00
Travis County TX,48453,02/21,0.00,0.00,0.00,0.00,0.00,0.00
Travis County TX,48453,02/22,0.00,0.00,0.00,0.00,0.00,0.00
Travis County TX,48453,02/23,0.00,0.00,0.00,0.00,0.00,0.00
